Category,AvgPositiveScore,AvgNegativeScore,NetSentimentScore,SentimentScore1_10
Accessories,0.38222571300950503,0.6177742944851511,-0.23554857398098997,4.440031417085545
Beauty,0.4039820829567172,0.596017922560908,-0.19203583408656558,4.635838746610455
Beverages,0.4390896726705119,0.5609103334821951,-0.12182065465897615,4.9518070540346075
Books,0.39015261643605,0.6098473841123494,-0.21969476712790006,4.51137354792445
Electronics,0.38033542046505686,0.6196645876878374,-0.2393291590698863,4.423018784185512
Fashion,0.48711199978008934,0.5128880110593285,-0.025776000439821343,5.384007998020804
Home,0.3228537061333389,0.6771463026226147,-0.3542925877333222,3.90568335520005
Kitchen,0.40504279486806194,0.5949572067771864,-0.18991441026387615,4.6453851538125575
Sports,0.40890400327929954,0.5910960032580822,-0.18219199344140097,4.680136029513696
Toys,0.31988979167134873,0.6801102143050658,-0.3602204166573025,3.8790081250421387
