Category,AvgPositiveScore,AvgNegativeScore,NetSentimentScore,SentimentScore1_10
Accessories,0.38222570842705095,0.6177742884631768,-0.23554858314589813,4.440031375843459
Beauty,0.4039820852720566,0.5960179072897536,-0.19203582945588682,4.63583876744851
Beverages,0.43908965399109673,0.5609103463616889,-0.1218206920178066,4.95180688591987
Books,0.3901526183982025,0.6098473777305723,-0.21969476320359502,4.511373565583822
Electronics,0.3803353799198933,0.6196646244994792,-0.23932924016021342,4.42301841927904
Fashion,0.48711198412798534,0.5128880110877927,-0.02577603174402931,5.384007857151868
Home,0.3228536558177769,0.677146339873864,-0.35429268836444616,3.905682902359992
Kitchen,0.4050427234913587,0.5949572767253032,-0.1899145530172826,4.645384511422228
Sports,0.4089039469766166,0.5910960510523926,-0.1821921060467668,4.680135522789549
Toys,0.31988975404380526,0.6801102472846989,-0.3602204919123894,3.8790077863942476
